date,open,high,low,close,volume
2024-01-02,11.879,12.002,11.766,11.9,5574293.0
2024-01-03,11.88,11.93,11.856,11.887,7706971.0
2024-01-04,11.377,11.411,11.333,11.379,1043585.0
2024-01-05,11.768,11.794,11.701,11.752,3539448.0
2024-01-08,11.228,11.41,11.248,11.33,1109556.0
2024-01-09,11.142,11.266,11.077,11.14,2575557.0
2024-01-10,11.218,11.327,11.106,11.252,9306461.0
2024-01-11,10.9,11.071,10.938,10.972,3009021.0
2024-01-12,10.766,10.85,10.703,10.739,2201482.0
2024-01-15,10.581,10.721,10.482,10.544,1542335.0
2024-01-16,10.628,10.672,10.564,10.66,5270070.0
2024-01-17,11.191,11.199,11.073,11.149,7700379.0
2024-01-18,11.139,11.265,11.045,11.158,4560920.0
2024-01-19,10.912,10.968,10.838,10.909,7860006.0
2024-01-22,10.972,11.045,10.904,11.027,3484413.0
2024-01-23,10.974,10.997,10.715,10.895,3907360.0
2024-01-24,10.758,11.039,10.873,10.891,6895544.0
2024-01-25,11.142,11.231,11.092,11.147,6697469.0
2024-01-26,11.015,11.03,10.877,10.98,3235000.0
2024-01-29,10.88,10.995,10.949,10.982,7908531.0
2024-01-30,10.78,10.931,10.674,10.789,5322252.0
2024-01-31,10.752,10.781,10.713,10.755,6822184.0
2024-02-01,10.852,10.965,10.796,10.811,1402690.0
2024-02-02,10.659,10.805,10.447,10.597,3548421.0
2024-02-05,10.505,10.853,10.438,10.525,2954109.0
2024-02-06,10.406,10.572,10.367,10.475,5422880.0
2024-02-07,10.41,10.521,10.275,10.342,8205547.0
2024-02-08,10.157,10.139,10.023,10.096,9323735.0
2024-02-09,9.786,9.879,9.703,9.809,7457294.0
2024-02-12,9.797,9.849,9.768,9.779,2384250.0
2024-02-13,9.746,9.787,9.541,9.726,1061087.0
2024-02-14,10.189,10.161,10.127,10.16,7409907.0
2024-02-15,9.676,9.689,9.634,9.666,2496176.0
2024-02-16,9.758,9.894,9.553,9.688,1039353.0
2024-02-19,9.672,9.82,9.689,9.759,7484531.0
2024-02-20,10.077,10.067,10.001,10.025,4360011.0
2024-02-21,10.144,10.237,10.07,10.125,8654909.0
2024-02-22,9.943,9.982,9.924,9.954,5259622.0
2024-02-23,10.013,10.129,9.899,9.954,5959617.0
2024-02-26,9.945,10.107,9.978,10.062,6725570.0
2024-02-27,10.057,10.125,9.968,9.999,1416880.0
2024-02-28,10.173,10.247,9.939,10.153,8072695.0
2024-02-29,9.717,9.821,9.762,9.774,8433296.0
2024-03-01,10.134,10.238,10.028,10.112,5965050.0
2024-03-04,10.394,10.422,10.403,10.409,1813168.0
2024-03-05,10.469,10.415,10.206,10.339,1225281.0
2024-03-06,10.558,10.49,10.353,10.466,4782875.0
2024-03-07,10.498,10.526,10.439,10.476,3995765.0
2024-03-08,10.266,10.713,10.194,10.302,8734102.0
2024-03-11,10.291,10.402,10.23,10.32,6595108.0
2024-03-12,10.51,10.68,10.488,10.527,6674719.0
2024-03-13,10.418,10.645,10.349,10.446,9658144.0
2024-03-14,10.323,10.404,10.349,10.368,7609280.0
2024-03-15,10.323,10.43,10.286,10.353,6500306.0
2024-03-18,10.428,10.479,10.34,10.442,5372093.0
2024-03-19,10.683,10.797,10.664,10.709,2561729.0
2024-03-20,10.538,10.613,10.323,10.573,6031595.0
2024-03-21,10.634,10.712,10.498,10.681,6478047.0
2024-03-22,10.855,10.786,10.556,10.727,2119043.0
2024-03-25,10.255,10.443,10.321,10.328,8103230.0
