date,open,high,low,close,volume
2024-01-02,10.319,10.39,10.317,10.353,7423388.0
2024-01-03,10.418,10.546,10.298,10.436,7550634.0
2024-01-04,10.599,10.67,10.576,10.64,5304572.0
2024-01-05,11.03,11.249,10.894,11.117,3234489.0
2024-01-08,11.541,11.601,11.47,11.532,8204212.0
2024-01-09,11.287,11.322,11.146,11.307,5472471.0
2024-01-10,11.44,11.565,11.411,11.521,5523669.0
2024-01-11,11.51,11.672,11.481,11.487,8404852.0
2024-01-12,11.418,11.53,11.389,11.463,5981505.0
2024-01-15,11.56,11.598,11.403,11.557,2766891.0
2024-01-16,11.627,11.667,11.461,11.59,5521373.0
2024-01-17,11.934,11.981,11.901,11.927,7019877.0
2024-01-18,12.166,12.176,12.105,12.109,4344769.0
2024-01-19,12.077,12.142,12.022,12.138,1103355.0
2024-01-22,12.266,12.31,12.194,12.246,2262752.0
2024-01-23,12.294,12.396,12.311,12.328,6664789.0
2024-01-24,12.653,12.754,12.619,12.696,6743066.0
2024-01-25,12.615,12.665,12.562,12.644,7113790.0
2024-01-26,12.708,12.763,12.507,12.723,5721339.0
2024-01-29,12.509,12.615,12.372,12.506,4275709.0
2024-01-30,11.809,12.017,11.831,11.867,1084654.0
2024-01-31,12.068,12.067,11.999,12.023,6147581.0
2024-02-01,12.254,12.247,12.12,12.23,2954354.0
2024-02-02,11.972,12.112,11.983,12.049,9242680.0
2024-02-05,12.67,12.834,12.532,12.596,3428388.0
2024-02-06,12.324,12.324,12.068,12.23,9916786.0
2024-02-07,12.3,12.332,12.238,12.241,3663046.0
2024-02-08,12.186,12.307,12.121,12.195,6499720.0
2024-02-09,12.515,12.7,12.541,12.569,7640913.0
2024-02-12,12.991,12.984,12.928,12.938,4416664.0
2024-02-13,12.958,12.985,12.887,12.978,4385659.0
2024-02-14,13.137,13.248,13.045,13.076,4385357.0
2024-02-15,12.855,12.919,12.766,12.844,2465689.0
2024-02-16,12.384,12.418,12.289,12.335,1068148.0
2024-02-19,12.267,12.259,12.155,12.249,2825665.0
2024-02-20,12.323,12.354,12.247,12.288,3745683.0
2024-02-21,12.591,12.703,12.588,12.59,5056518.0
2024-02-22,12.982,13.001,12.855,12.893,3669995.0
2024-02-23,12.799,12.908,12.567,12.793,5997895.0
2024-02-26,12.736,12.759,12.711,12.716,7397986.0
2024-02-27,12.543,12.499,12.353,12.449,2870928.0
2024-02-28,12.028,12.288,12.061,12.095,5155299.0
2024-02-29,11.619,11.778,11.636,11.683,7249859.0
2024-03-01,12.187,12.147,12.09,12.138,3305413.0
2024-03-04,11.956,12.137,11.861,12.015,4910197.0
2024-03-05,12.007,11.994,11.903,11.91,6558019.0
2024-03-06,11.59,11.711,11.595,11.611,6414709.0
2024-03-07,11.754,11.946,11.768,11.792,1271836.0
2024-03-08,11.507,11.53,11.351,11.411,4584702.0
2024-03-11,11.437,11.394,11.339,11.362,8281369.0
2024-03-12,11.252,11.251,11.017,11.159,3299435.0
2024-03-13,11.291,11.277,11.196,11.245,9585377.0
2024-03-14,11.087,11.216,11.076,11.13,3658505.0
2024-03-15,10.963,10.933,10.826,10.868,2271741.0
2024-03-18,10.848,10.965,10.746,10.862,4769315.0
2024-03-19,10.995,11.023,10.876,10.955,2046797.0
2024-03-20,11.016,11.049,10.82,10.969,4047262.0
2024-03-21,11.028,11.104,10.828,11.035,1564685.0
2024-03-22,10.926,10.941,10.853,10.895,3879190.0
2024-03-25,10.863,10.818,10.749,10.816,6596411.0
